sample	T-cells	B-cells	Treg	Macrophages	Th1 cells	CD45	Exhausted CD8	DC	Cytotoxic cells	NK CD56dim cells	Neutrophils	Mast cells	NK cells	CD8 T cells	igA_Bcells	igG_Bcells	igMD_Bcells
BA2876R	6.857654684	2.957498754222222	3.810307292	4.401140163	6.274267782	9.129640082	5.46966320025	0.23878428	6.4240371479	3.233667651	6.191139893428572	3.2107966738	3.218655971	7.124220584	7.052246019	5.20968803375	6.9377661015
BA2357R	3.9084112285	1.2086857642222222	1.14745815	4.428983388	3.793344619	8.736151257	4.7606803075	-0.874344283	4.5182359195	1.0545950916666667	6.382612141571428	4.886977353	0.99027312	4.235219462	11.8329676	10.86206765375	8.449690885999999
BA2546R	4.560611022833333	2.339282893111111	1.016825413	5.85630859075	3.994234952	9.692799827	4.38790061525	0.393858944	5.4360663356000005	0.606090251	7.300573580428572	0.5943304812	1.4812444206666666	4.8077103945	10.6097882745	8.87912240075	7.9477572645
BA2742R	1.6340216506666665	1.6294326648888888	-1.21830795	5.8579732052499995	0.943216526	9.569151305	2.83926205275	2.216821555	2.3393817508	-1.1595924676666667	3.950727959285714	0.6590238452	-0.7496960833333333	1.7300174584999999	8.731105150000001	7.5563140095	5.8169645735
BA2316R	0.907165377	1.771415816111111	-1.478265978	5.83357844725	0.444011824	9.584085441	2.693865519	2.391195356	2.1411741646999998	-0.9497278903333334	4.4320034765714285	0.787093681	-0.39655131866666665	1.42642045	8.5376721755	7.4117643305000005	5.5968791165
BA2421R	4.221749076333333	-1.3739676472222222	1.674811128	3.54383392175	4.140579648	9.501259738	4.6620505754999995	0.094710711	5.7151408051	1.6807036286666666	6.214275550428571	3.4032847598	3.038873864666667	3.7430408049999997	3.2818571215	0.55243419975	0.7996214475000001
BA2087R	4.720660655166666	2.534375513	1.815210532	3.1653420385	4.270046886	8.792052354	3.7579190255	-4.460575685	5.1488653898	1.3127845816666668	3.843877438142857	0.7923709130000001	0.7873196523333333	4.714584021	9.137514701499999	5.475165157	7.9918560095
BA2910R	3.7947768258333334	0.786460942888889	0.061899566	2.1206226519999998	2.892389511	8.968001047	4.927395394	-3.840241823	4.0115553235000005	0.9351895606666666	1.7515798385714285	3.5166516504	1.7670308633333334	3.2736081534999997	4.4703344755	0.91677564575	6.7441586155
BA2148R	4.676915034666667	2.3832504876666665	1.618917701	5.7706703975	4.579419281	8.459411388	3.778827109	2.244244934	4.5026774654	1.0723709086666666	4.594043760571428	6.7856632872	4.690361662	3.519978577	8.2886624445	5.8943656762500005	6.4292113075
BA2329R	3.7180141901666666	-0.09355835433333333	0.082320996	5.0803968015	2.300074628	9.356100436	3.76120039725	-0.2917844	4.2102213411000005	-1.0536736903333332	7.745143169142857	5.7699403446	1.0117655166666666	2.6818625525	7.9560087945	5.156706175	4.6938469755000005
BA2677R	3.3104847183333335	-0.3557676908888888	-0.991836124	4.520537644	2.603299408	8.552900139	4.0684392785	-0.827405877	4.5058953446	-2.6552652500000002	6.9395776218571426	6.5679081914	0.6817058880000001	2.0157264865	5.499347675	4.49666559125	5.9825598425
BA3178R	1.8274050383333333	1.6977641669999999	0.781345139	2.34613824775	3.455047072	9.247041739	2.6550657697499997	0.334792502	3.2730311338	-0.5631872886666667	2.1221097542857144	1.1479352984	-0.16786050000000005	1.1679467175	3.062163683	2.72459793725	4.610698631
BA2072R	4.548711761666667	2.517899494111111	1.199508633	4.77315639975	3.652178264	9.520363501	4.5261929765	0.800942945	4.7419803788	-0.26175058766666676	5.820034646857143	4.9993831404	1.151667892	4.057973796	8.368069424	6.9213734805	6.90069454
BA3029R	3.488184235666667	-1.1891766000000001	0.521473783	1.21581628375	3.081970801	8.077893797	3.5236286815	-2.418790974	4.9217496688	-0.16004008499999997	3.711988861	3.9104698284	2.55165283	2.686833816	-0.5334196645	-0.90728992725	6.1304894665
BA2735R	3.3667386793333334	-0.20494619355555546	-0.613129728	4.0505414725	2.894743016	8.387951274	3.7255408924999998	-2.19345673	3.75157144	-0.446892062	5.477853305428572	4.5127199032	-0.3175436206666667	3.101011413	5.386520902	1.5473517405	7.3164924285
BA2733R	4.470192716	1.9735342280000001	0.265746041	3.8840803674999997	2.821234481	8.42798766	3.8154673779999997	-0.851051273	3.6186066467	-0.32789688766666664	4.833337735142857	5.0795107353999995	1.4258596936666665	2.8398384319999996	6.7492687985	6.16364515275	6.6733961399999995
BA2995R	3.5690947211666666	1.946197164	-0.252053019	1.9798856820000001	1.080685192	7.06807721	4.33058304725	-2.67774829	2.9233092805	-1.16748225	5.187206375285714	3.8198367186	1.8389675463333335	1.6037561029999998	4.1285684615000005	5.706069847	9.028257334
BA2069R	2.8004771571666667	1.2459528736666667	0.583388534	4.578608260999999	1.884487031	7.911113486	3.6876156197500003	-0.504975992	3.5093912363	-1.9006830163333333	4.281330093285714	1.1349862008	0.431350704	2.648299511	8.967369060500001	8.01659132725	6.4907971195
BA2100R	4.034913968	0.39129655388888884	0.152257105	4.30060232375	3.988571934	8.023245235	4.42360368625	1.596330494	3.8540999286	-0.3177369676666666	5.6693579152857145	5.5453742378	1.5963120013333334	3.804729323	3.2942063935	2.31092318425	7.172892723
BA2953R	2.3957329035	0.701726776	-1.343978694	3.9455548865	1.444850418	7.263234377	3.723284047	1.927241939	2.2398250674	-1.5677031430000001	4.829478947857143	5.1824544834	0.496167299	1.8831566025	4.759638984	4.90075231725	8.099019465
BA2681R	3.627905779166667	0.03947580277777775	-0.610774085	2.11738928675	2.137867871	8.950996671	3.41763470525	-3.628235815	4.2919398455	-1.5155000686666669	8.119729742	6.0679215092	1.6085646753333334	3.8479128245	5.5883838625	4.1164970615000005	7.6749643679999995
BA2248R	2.2369945735	-0.4050373747777778	-0.689951729	2.066532097	0.758867012	8.563383037	4.201356017	-3.551029204	2.9179798313	-1.5965312029999998	3.7156509692857145	5.1305357834	-0.9774704366666667	2.4084526475	2.6099524475	1.7668948845	3.6512469905
BA2832R	5.327495276166666	2.02528239	1.44271221	0.8101908627500001	4.563714637	8.981734767	4.618056641	-6.175705455	5.9420780504	-0.015525543999999983	6.711135114571428	8.5035851078	1.0795413203333333	3.869668206	8.732674128500001	5.73425721225	7.695880017
BA2308R	3.3911012716666664	0.08373250988888882	-0.452652967	2.011720136	3.2126676770000002	8.154775206	5.23837568275	0.523162664	3.6337384507	-1.2513430923333333	4.9927800524285715	6.0190011142	0.7545306176666666	2.464502691	4.4247436965	1.36372602925	9.138597403
BA2413R	2.326822071	0.08756489722222231	-0.711977832	2.1398052475	2.174859837	7.531974918	5.29632742875	0.563806635	3.4662400196	-0.5568978553333334	3.3900251547142854	3.0372993278	2.070838117	2.4913391175	3.0878657919999997	1.1561967544999998	9.1682454445
